down	today we're celebrating 75 years of road safety innovation. one notable example is the evolution of the stop sign. since the 1930s, 3m technologies have increased sign brightness and improved durability.
const	a year ago, we were pleased to announce a partnership with the annika foundation, which teaches children the importance of healthy, active lifestyles and offers aspiring junior golfers opportunities to pursue their dreams. this partnership has led to this weekend's inaugural annika intercollegiate, a college golf tournament co-founded by sorenstam and golfweek magazine. we're excited to sponsor this year's corresponding award ceremony in which the annika award will be presented to ucla's outstanding collegiate golfer, alison lee. congratulations, alison! 
const	if you’re a licensed driver, chances are you've driven while drowsy at least a few times. what if someone were to design a device to help you stay awake while on the road that’s small, inexpensive, easy to use and works in a way that is proactive rather than reactive? 14-year-old katherine wu, a finalist in this year’s discovery education 3m young scientist challenge, has done just that. 
down	for 3m global volunteer day, it was so fun to witness 3mers from different departments engaging in a little healthy competition, racing to pack healthy snacks to be distributed to people in need. the results: 2,400+ snack packs ready to be shipped from 3m corporate hq. this was just one part of a global effort!
down	the 10 finalists in the discovery education 3m young scientist challenge have been working all summer long to bring their innovative ideas to life with the help of a 3m scientist mentor. next tuesday, october 14, the final event will take place and there will be a live webcast from our 3m innovation center in st. paul, mn. you do not want to miss this! for registration and details, click here: 
up	we are proud to sponsor the hispanicize 2015 positive impact awards, and thrilled about how this wonderful program has evolved and the impact it continues to have on the latino community and beyond. 
down	we are proud and honored to be on interbrand’s list of best global brands. check out the full list here: 
up	let's get it started! #youngscientistchallenge
up	the young scientist challenge finalists took a moment out of an activity-filled day for a group selfie.
const	great article about day 1 of the discovery education 3m young scientist challenge final event, highlighting 12-year-old david cohen's invention: a robot that could help eradicate mosquitoes from the earth and thereby prevent the spread of malaria. 
const	live from our innovation center in st. paul, jai and ana present their machine for one of today's challenges! #youngscientistchallenge
up	we are thrilled to announce the winner of the 2014 discovery education 3m young scientist challenge, sahil doshi! congratulations to sahil, and all of this year’s finalists for their ingenuity and dedication to solving problems around the world through innovative ideas and a lot of hard work.
up	at a recent event celebrating national breast cancer awareness month, employees covered a ribbon with pink post-it notes to show support for the fighters, admiration for the survivors and to honor the taken. #breastcancerawareness
up	we've joined forces with do something to create the science sleuth game in an effort to inspire girls to get excited about science! teens can play the game by texting clue to 38383 and unlock real funding for a classroom in need through donorschoose.org. check out the psa now with keke palmer! 
up	wouldn't it be cool to work for a company that provides solar power as an employee perk? read about our new program, called the solar community initiative. 
up	could the new post-it plus app be the best thing since sliced bread? if you haven't already, download it onto your iphone or ipad, and let us know what you think! 
up	3m innovation can be found in unexpected places. check out the scotchlite™ reflective material on these uniforms sported by the ohio state buckeyes! photo credit: @thebestgear
up	did you see caitlin prater-haake on the meredith vieira show yesterday? we’re so impressed by her courageous efforts to spread positive messages in her community (and putting post-it notes to such good use!). watch this 6 minute segment – it will make your day. 
const	the carlton society is the "hall of fame" for 3m scientists who develop innovative new products and contribute to the company's culture of collaborative innovation. check out this video from the 2014 carlton society awards ceremony, highlighting film technology. 
const	the mobile innovation center arrived earlier this morning for the 2014 net impact conference in minneapolis. we're thrilled to be co-title sponsors of this important event with target! expo begins tomorrow and conference goes through saturday, but there's still time to register for one-day passes. learn more here: 
const	looking forward to a great day here at the 2014 net impact conference, where thousands of sustainability-minded students and professionals from a variety of sectors come together to explore creative solutions to transform the world. also thrilled to be a co-title sponsor with target and share lounge space with them!
const	bullseye, the target mascot, stopped by our mobile innovation center to see if this chair uplifted by 3m vhb™ tape could really hold its weight. #ni14
const	during the vietnam war, a "stand-down" afforded battle-weary soldiers the opportunity to renew their spirit, health and overall sense of well-being. to express gratitude to our veterans for their service to our country, our military support network is sponsoring a stand-down at our corporate hq today. to all veterans and families of those who are currently serving or have served in our military...thank you.
